epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.6289,1.01066,0.73314,1,0.76082,3.3125e-05,3.3125e-05,0.0669081
2,151.978,0.70034,0.09384,1,6.46615,6.64132e-05,6.64132e-05,0.0336081
3,223.584,0.58606,0.78446,1,0.63078,9.95211e-05,9.95211e-05,0.000307854
4,296.102,0.5021,0.82698,1,0.52917,9.93906e-05,9.93906e-05,9.93906e-05
5,368.384,0.44128,0.2522,1,2.44987,9.89183e-05,9.89183e-05,9.89183e-05
6,440.049,0.39269,0.83724,1,0.52018,9.83133e-05,9.83133e-05,9.83133e-05
7,512.422,0.3496,0.36217,1,1.83708,9.75773e-05,9.75773e-05,9.75773e-05
8,584.395,0.32946,0.83138,1,0.51599,9.67122e-05,9.67122e-05,9.67122e-05
9,655.625,0.29361,0.85191,1,0.48743,9.57205e-05,9.57205e-05,9.57205e-05
10,727.259,0.26574,0.80792,1,0.62321,9.46048e-05,9.46048e-05,9.46048e-05
11,801.448,0.24984,0.82991,1,0.53743,9.33683e-05,9.33683e-05,9.33683e-05
12,875.227,0.23173,0.70968,1,0.82739,9.20142e-05,9.20142e-05,9.20142e-05
13,945.437,0.21301,0.79912,1,0.65885,9.05463e-05,9.05463e-05,9.05463e-05
14,1017.98,0.18621,0.52053,1,1.78092,8.89687e-05,8.89687e-05,8.89687e-05
15,1090.97,0.17666,0.80645,1,0.64893,8.72857e-05,8.72857e-05,8.72857e-05
16,1163.19,0.17082,0.18182,1,4.0498,8.55018e-05,8.55018e-05,8.55018e-05
17,1235.59,0.15175,0.81085,1,0.71057,8.3622e-05,8.3622e-05,8.3622e-05
18,1306.93,0.13969,0.82405,1,0.68734,8.16514e-05,8.16514e-05,8.16514e-05
19,1378.44,0.12867,0.10117,1,9.4401,7.95954e-05,7.95954e-05,7.95954e-05
20,1449.14,0.11892,0.34457,1,2.64681,7.74596e-05,7.74596e-05,7.74596e-05
21,1519.9,0.12143,0.80499,1,0.86377,7.525e-05,7.525e-05,7.525e-05
