epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2674.64,1.05531,0.49218,1.29199,0.95526,0.97256,0.98365,0.69431,1.12129,0.42065,1.45748,0.000742625,0.000742625,0.000742625
43,2737.52,1.02806,0.4708,1.27139,0.94403,0.96446,0.98057,0.6942,1.1071,0.42858,1.45872,0.00073025,0.00073025,0.00073025
44,2799.73,1.02798,0.47225,1.27637,0.96548,0.96004,0.98215,0.68986,1.11747,0.42963,1.46786,0.000717875,0.000717875,0.000717875
45,2863.01,1.02203,0.47509,1.27044,0.96574,0.96874,0.98456,0.6958,1.10216,0.41706,1.46161,0.0007055,0.0007055,0.0007055
46,2925.32,1.01061,0.47283,1.26762,0.96019,0.96865,0.98436,0.69709,1.11442,0.41781,1.46276,0.000693125,0.000693125,0.000693125
47,2988.23,1.00795,0.45794,1.26233,0.9623,0.97385,0.98208,0.69479,1.11865,0.42157,1.47117,0.00068075,0.00068075,0.00068075
48,3051.73,1.00746,0.46076,1.2612,0.95721,0.96169,0.98456,0.69264,1.12411,0.42102,1.48325,0.000668375,0.000668375,0.000668375
49,3115.31,0.99926,0.45965,1.25656,0.96354,0.97404,0.98437,0.70362,1.1017,0.41432,1.45658,0.000656,0.000656,0.000656
50,3183.93,1.00548,0.46178,1.26292,0.9692,0.97274,0.98495,0.68855,1.13537,0.41426,1.48628,0.000643625,0.000643625,0.000643625
51,3247.08,0.98344,0.45075,1.24657,0.96426,0.96771,0.98455,0.70319,1.10692,0.41232,1.46063,0.00063125,0.00063125,0.00063125
52,3309.37,0.98615,0.45608,1.24915,0.96649,0.95971,0.98196,0.68181,1.14186,0.43257,1.48907,0.000618875,0.000618875,0.000618875
53,3371.32,0.97983,0.44852,1.2441,0.95427,0.96323,0.9819,0.68629,1.12208,0.42834,1.47891,0.0006065,0.0006065,0.0006065
54,3434.21,0.97622,0.44387,1.24167,0.96524,0.96758,0.98345,0.69967,1.09961,0.41163,1.44384,0.000594125,0.000594125,0.000594125
55,3496.62,0.96989,0.44532,1.23669,0.95237,0.97706,0.97914,0.69426,1.11402,0.40776,1.45748,0.00058175,0.00058175,0.00058175
56,3559.71,0.97397,0.44925,1.24574,0.96438,0.95582,0.98338,0.6924,1.10544,0.41499,1.46476,0.000569375,0.000569375,0.000569375
57,3623,0.97061,0.43803,1.23732,0.96726,0.9658,0.98475,0.70232,1.11476,0.40359,1.46971,0.000557,0.000557,0.000557
58,3685.96,0.95612,0.43222,1.23111,0.9614,0.96366,0.98378,0.69357,1.10914,0.41709,1.48204,0.000544625,0.000544625,0.000544625
59,3749,0.95045,0.4298,1.2268,0.96371,0.96676,0.98324,0.70332,1.10484,0.4101,1.4788,0.00053225,0.00053225,0.00053225
60,3811.26,0.94834,0.43181,1.21364,0.95737,0.95776,0.98597,0.69288,1.12705,0.41983,1.49523,0.000519875,0.000519875,0.000519875
61,3874.57,0.94384,0.4308,1.21663,0.96083,0.9608,0.98091,0.68887,1.1401,0.42446,1.5074,0.0005075,0.0005075,0.0005075
62,3937.52,0.9299,0.42347,1.20472,0.95182,0.97133,0.98138,0.69804,1.11508,0.42139,1.49665,0.000495125,0.000495125,0.000495125
63,4000.16,0.9351,0.42157,1.20766,0.95836,0.97556,0.9861,0.70094,1.11474,0.40616,1.49032,0.00048275,0.00048275,0.00048275
64,4063.72,0.92091,0.41589,1.20787,0.96006,0.96732,0.98052,0.69099,1.13368,0.4108,1.49837,0.000470375,0.000470375,0.000470375
