epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,768.67,0.57981,0.6625,1.19362,0.69344,0.79159,0.78372,0.64603,0.62213,0.55816,1.1932,2.26769e-05,2.26769e-05,2.26769e-05
71,1536.57,0.59263,0.65856,1.20118,0.7324,0.73162,0.78031,0.64562,0.6133,0.5587,1.18517,2.14046e-05,2.14046e-05,2.14046e-05
72,2304.77,0.59035,0.65203,1.18212,0.71305,0.75943,0.77447,0.6412,0.61003,0.56214,1.19103,2.01611e-05,2.01611e-05,2.01611e-05
73,3072.95,0.57834,0.63927,1.20001,0.72658,0.74737,0.7705,0.64113,0.6068,0.56611,1.18618,1.89475e-05,1.89475e-05,1.89475e-05
74,3841.62,0.5665,0.62895,1.17633,0.73061,0.70897,0.76589,0.63866,0.62305,0.56162,1.1946,1.77651e-05,1.77651e-05,1.77651e-05
75,4610.61,0.56865,0.63504,1.17833,0.69419,0.7377,0.7612,0.63578,0.61154,0.55756,1.18339,1.66149e-05,1.66149e-05,1.66149e-05
76,5379.68,0.56359,0.62455,1.1725,0.67667,0.74572,0.76239,0.64295,0.6147,0.55566,1.18636,1.54982e-05,1.54982e-05,1.54982e-05
77,6148.52,0.56737,0.63074,1.16981,0.71043,0.73145,0.7704,0.64146,0.62941,0.54937,1.19735,1.44161e-05,1.44161e-05,1.44161e-05
78,6917.36,0.55323,0.61812,1.16833,0.68198,0.76052,0.77565,0.64212,0.62219,0.5591,1.19152,1.33695e-05,1.33695e-05,1.33695e-05
79,7686.19,0.55884,0.62491,1.17621,0.70307,0.74143,0.77413,0.64604,0.6155,0.55416,1.18788,1.23596e-05,1.23596e-05,1.23596e-05
80,8455.05,0.55186,0.61481,1.16913,0.73837,0.73329,0.77792,0.64397,0.61952,0.5602,1.193,1.13873e-05,1.13873e-05,1.13873e-05
81,9223.85,0.54042,0.60536,1.16598,0.74406,0.71975,0.77836,0.64872,0.62312,0.55786,1.19583,1.04537e-05,1.04537e-05,1.04537e-05
82,9992.71,0.54452,0.61233,1.15944,0.7526,0.70334,0.78425,0.65184,0.6235,0.55304,1.19939,9.55951e-06,9.55951e-06,9.55951e-06
83,10761.6,0.53807,0.60434,1.15187,0.74679,0.7019,0.77402,0.64447,0.62479,0.56031,1.19929,8.70577e-06,8.70577e-06,8.70577e-06
84,11530.5,0.53055,0.59685,1.15404,0.75049,0.70105,0.77061,0.6406,0.62593,0.55916,1.20038,7.89327e-06,7.89327e-06,7.89327e-06
85,12299.5,0.53239,0.58434,1.15401,0.71058,0.73696,0.76851,0.63722,0.63006,0.56097,1.20492,7.12282e-06,7.12282e-06,7.12282e-06
86,13068.5,0.52568,0.58423,1.14133,0.76679,0.69351,0.77399,0.64137,0.62736,0.56475,1.20456,6.39518e-06,6.39518e-06,6.39518e-06
87,13837.6,0.53189,0.59105,1.15544,0.77964,0.69524,0.77298,0.63827,0.63113,0.5643,1.20799,5.71106e-06,5.71106e-06,5.71106e-06
88,14606.8,0.52454,0.58574,1.14548,0.77576,0.6944,0.76903,0.63663,0.62628,0.55954,1.20504,5.07115e-06,5.07115e-06,5.07115e-06
89,15375.9,0.51947,0.58821,1.14417,0.76906,0.69422,0.77498,0.64144,0.62142,0.56043,1.20085,4.47606e-06,4.47606e-06,4.47606e-06
90,16145.2,0.52832,0.59162,1.14008,0.75145,0.69391,0.77105,0.64094,0.61783,0.56023,1.19936,3.9264e-06,3.9264e-06,3.9264e-06
91,16914.8,0.70078,0.53641,1.0901,0.70745,0.74012,0.77104,0.64176,0.61934,0.55869,1.20453,3.4227e-06,3.4227e-06,3.4227e-06
92,17683.9,0.69626,0.50873,1.06912,0.725,0.72966,0.77244,0.6447,0.61264,0.5635,1.20198,2.96546e-06,2.96546e-06,2.96546e-06
93,18452.8,0.68038,0.51015,1.06987,0.73821,0.73298,0.77217,0.64547,0.60325,0.564,1.19505,2.55513e-06,2.55513e-06,2.55513e-06
94,19221.8,0.67767,0.50359,1.06745,0.74763,0.72233,0.77319,0.6462,0.59838,0.56413,1.19326,2.19212e-06,2.19212e-06,2.19212e-06
95,19990.7,0.69458,0.5096,1.05951,0.74667,0.72204,0.77685,0.64981,0.59504,0.56291,1.19004,1.87678e-06,1.87678e-06,1.87678e-06
96,20759.7,0.68807,0.49928,1.04694,0.75456,0.72809,0.77915,0.65125,0.59162,0.56216,1.18721,1.60943e-06,1.60943e-06,1.60943e-06
97,21528.4,0.68215,0.49176,1.05801,0.76155,0.72639,0.78106,0.65344,0.59045,0.56094,1.18729,1.39032e-06,1.39032e-06,1.39032e-06
98,22297.1,0.69143,0.4995,1.06339,0.75901,0.72516,0.78079,0.65376,0.58943,0.55955,1.18637,1.21968e-06,1.21968e-06,1.21968e-06
99,23066.1,0.66737,0.48758,1.04455,0.76112,0.72065,0.78015,0.65209,0.58876,0.55896,1.18639,1.09768e-06,1.09768e-06,1.09768e-06
100,23835,0.67332,0.48908,1.04522,0.76096,0.7207,0.77916,0.65247,0.58839,0.55948,1.18664,1.02443e-06,1.02443e-06,1.02443e-06
