epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3595.69,1.05478,0.47248,1.305,0.97337,0.9749,0.98649,0.69568,1.12108,0.40482,1.46851,0.000643101,0.000643101,0.000643101
43,3680.7,1.03963,0.46174,1.29313,0.97301,0.97311,0.98716,0.6916,1.14778,0.40634,1.48963,0.000628101,0.000628101,0.000628101
44,3765.77,1.04765,0.47276,1.29866,0.97258,0.97627,0.98723,0.69302,1.13268,0.41172,1.48864,0.000612981,0.000612981,0.000612981
45,3850.97,1.04627,0.46436,1.28791,0.96896,0.98021,0.98767,0.68961,1.14876,0.41119,1.50721,0.000597754,0.000597754,0.000597754
46,3935.86,1.02719,0.45312,1.27731,0.97181,0.9811,0.98601,0.69702,1.1163,0.39853,1.48255,0.000582435,0.000582435,0.000582435
47,4023.06,1.02746,0.45373,1.2754,0.97462,0.97348,0.98748,0.68044,1.15577,0.41118,1.49386,0.00056704,0.00056704,0.00056704
48,4108.77,1.02207,0.45867,1.27561,0.97736,0.97313,0.98642,0.68893,1.13691,0.40775,1.49931,0.000551584,0.000551584,0.000551584
49,4194.37,1.01517,0.44755,1.2684,0.97118,0.96965,0.98809,0.69094,1.13661,0.41161,1.50788,0.000536081,0.000536081,0.000536081
50,4279.82,1.01429,0.44572,1.27301,0.97305,0.97986,0.98814,0.69881,1.12382,0.38969,1.48917,0.000520548,0.000520548,0.000520548
51,4367.85,1.00945,0.44433,1.27013,0.96917,0.97977,0.98908,0.6971,1.13313,0.39128,1.49172,0.000505,0.000505,0.000505
52,4453.29,0.99455,0.44106,1.26002,0.97259,0.98018,0.98805,0.69455,1.13732,0.40181,1.50245,0.000489452,0.000489452,0.000489452
53,4538.81,0.99233,0.43316,1.25295,0.9744,0.97486,0.98844,0.69507,1.14954,0.39772,1.50808,0.000473919,0.000473919,0.000473919
54,4623.39,0.98889,0.43334,1.25335,0.97137,0.97657,0.98858,0.70235,1.11731,0.39343,1.48347,0.000458416,0.000458416,0.000458416
55,4712.04,0.97195,0.42651,1.24507,0.97523,0.97197,0.9874,0.6982,1.1351,0.39969,1.51716,0.00044296,0.00044296,0.00044296
56,4797.02,0.97059,0.42548,1.23918,0.97718,0.98089,0.98985,0.70783,1.11355,0.38079,1.48399,0.000427565,0.000427565,0.000427565
57,4884.56,0.95826,0.41605,1.23037,0.97513,0.97331,0.98769,0.70087,1.11588,0.38845,1.49674,0.000412246,0.000412246,0.000412246
58,4969.83,0.96992,0.41997,1.24051,0.97266,0.97837,0.98641,0.69651,1.12277,0.39417,1.51006,0.000397019,0.000397019,0.000397019
59,5054.62,0.95892,0.41875,1.23209,0.97239,0.97982,0.98823,0.6959,1.14633,0.39043,1.51359,0.000381899,0.000381899,0.000381899
60,5139.13,0.94889,0.41248,1.22724,0.97146,0.97954,0.98609,0.68781,1.15733,0.40376,1.53795,0.000366899,0.000366899,0.000366899
61,5223.58,0.94413,0.41363,1.22193,0.97546,0.9789,0.98714,0.68461,1.14961,0.39656,1.5355,0.000352037,0.000352037,0.000352037
62,5308.16,0.93366,0.41181,1.21464,0.9765,0.98163,0.98863,0.70317,1.12408,0.38653,1.52564,0.000337325,0.000337325,0.000337325
63,5392.27,0.92661,0.40257,1.20831,0.97343,0.98013,0.9878,0.70113,1.1304,0.3893,1.51864,0.000322778,0.000322778,0.000322778
64,5476.81,0.91913,0.40018,1.20779,0.97276,0.97688,0.98859,0.69637,1.13476,0.38839,1.54277,0.000308412,0.000308412,0.000308412
65,5561.65,0.9171,0.39982,1.20673,0.9714,0.97969,0.98809,0.70449,1.11934,0.39118,1.51215,0.000294239,0.000294239,0.000294239
66,5646.46,0.91734,0.40086,1.20272,0.97325,0.97786,0.98698,0.69402,1.14017,0.39306,1.55326,0.000280275,0.000280275,0.000280275
67,5730.89,0.90186,0.39536,1.19942,0.9677,0.98152,0.98836,0.70291,1.12488,0.38833,1.54114,0.000266532,0.000266532,0.000266532
68,5815.87,0.89824,0.39234,1.19278,0.97041,0.9757,0.98516,0.694,1.14129,0.39169,1.55552,0.000253024,0.000253024,0.000253024
69,5900.21,0.90345,0.39365,1.19722,0.96502,0.98231,0.98627,0.68633,1.16417,0.39895,1.56958,0.000239766,0.000239766,0.000239766
70,5983.83,0.9047,0.39536,1.19771,0.97298,0.97617,0.98768,0.7012,1.12881,0.38762,1.541,0.000226769,0.000226769,0.000226769
71,6068.01,0.89402,0.38716,1.19143,0.97356,0.97676,0.98807,0.69729,1.13692,0.39031,1.56951,0.000214046,0.000214046,0.000214046
72,6152.63,0.88419,0.38373,1.18274,0.97037,0.97637,0.987,0.69267,1.14453,0.39916,1.55508,0.000201611,0.000201611,0.000201611
73,6237.22,0.87431,0.3852,1.17669,0.96963,0.97903,0.9875,0.69299,1.14995,0.39426,1.57565,0.000189475,0.000189475,0.000189475
74,6321.9,0.86673,0.37747,1.17263,0.96976,0.98334,0.98718,0.6982,1.13546,0.3914,1.57984,0.000177651,0.000177651,0.000177651
75,6406.11,0.86048,0.37424,1.17049,0.97561,0.97638,0.98761,0.69852,1.14149,0.39304,1.58152,0.000166149,0.000166149,0.000166149
76,6490.7,0.85738,0.37227,1.16126,0.97114,0.98044,0.98717,0.69814,1.13911,0.39218,1.58798,0.000154982,0.000154982,0.000154982
